INFO 2025-04-06 18:04:52,195 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-06 18:04:52,356 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/wsgiref/headers.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/sqlparse/sql.py first seen with mtime 1714826477.991296
DEBUG 2025-04-06 18:04:52,356 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_osx_support.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/auth/base_user.py first seen with mtime 1714826478.2335603
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/files/__init__.py first seen with mtime 1714826478.5685081
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/migrations/migration.py first seen with mtime 1714826478.586907
DEBUG 2025-04-06 18:04:52,357 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/enum.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/loader.py first seen with mtime 1736539163.6350758
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/handlers/exception.py first seen with mtime 1714826478.5707972
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/templatetags/rest_framework.py first seen with mtime 1731529594.5259895
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1714826478.4341295
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/exceptions.py first seen with mtime 1732828296.8515239
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/corsheaders/checks.py first seen with mtime 1714847566.9714446
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/idna/__init__.py first seen with mtime 1732828296.9006493
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/utils/json.py first seen with mtime 1731529594.5272262
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/utils/html.py first seen with mtime 1714826478.6202896
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/urls/resolvers.py first seen with mtime 1714826478.6168594
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/schemas/utils.py first seen with mtime 1731529594.5016766
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1714826478.5774972
DEBUG 2025-04-06 18:04:52,357 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/sre_constants.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/prometheus_client/platform_collector.py first seen with mtime 1736507883.6234128
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/sqlparse/tokens.py first seen with mtime 1714826477.991397
DEBUG 2025-04-06 18:04:52,357 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1714826478.5857413
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/poolmanager.py first seen with mtime 1732828296.852027
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/_yaml.cpython-310-darwin.so first seen with mtime 1736539163.6367247
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/unicodedata.cpython-310-darwin.so first seen with mtime 1654533868.0
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework_simplejwt/__init__.py first seen with mtime 1739098216.8001072
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/resolver.py first seen with mtime 1736539163.6353514
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/forms/boundfield.py first seen with mtime 1714826478.5968537
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/template/backends/__init__.py first seen with mtime 1714826478.6132238
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/utils/safestring.py first seen with mtime 1714826478.6218636
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1714826478.6254983
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/files/uploadhandler.py first seen with mtime 1714826478.5693357
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_socket.cpython-310-darwin.so first seen with mtime 1654533864.0
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/importlib/metadata/__init__.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1714826478.1907513
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/files/locks.py first seen with mtime 1714826478.5688982
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/auth/backends.py first seen with mtime 1714826478.2334132
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/urls/__init__.py first seen with mtime 1714826478.6163425
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/utils/representation.py first seen with mtime 1731529594.527845
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1714826478.585967
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/forms/models.py first seen with mtime 1714826478.5974798
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/importlib/metadata/_adapters.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/models/functions/comparison.py first seen with mtime 1714826478.5936549
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/html/__init__.py first seen with mtime 1654533577.0
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/io.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/events.py first seen with mtime 1736539163.6336875
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/handlers/__init__.py first seen with mtime 1714826478.570271
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1714826478.191356
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/util/url.py first seen with mtime 1732828296.8566957
DEBUG 2025-04-06 18:04:52,358 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/__init__.py first seen with mtime 1714826478.56402
DEBUG 2025-04-06 18:04:52,358 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/quoprimime.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/schemas/openapi.py first seen with mtime 1731529594.5015097
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/__init__.py first seen with mtime 1714826478.5850296
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/requests/compat.py first seen with mtime 1732828296.9914212
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/admin/checks.py first seen with mtime 1714826478.0973606
DEBUG 2025-04-06 18:04:52,359 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/subprocess.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,359 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/serializer.py first seen with mtime 1736539163.6354957
